32.30;67.50;44.52;32.50;44.52
32.40;73.25;43.98;26.75;43.98
32.50;69.05;38.02;30.95;38.02
32.60;64.85;43.45;35.15;43.45
32.70;60.65;40.79;39.35;40.79
32.80;56.45;34.02;43.55;34.02
32.90;52.25;29.06;47.75;29.06
33.00;48.25;34.43;51.75;34.43
33.10;44.25;29.68;55.75;29.68
33.20;40.25;37.22;59.75;37.22
33.30;36.25;38.04;63.75;38.04
33.40;31.25;32.97;68.75;32.97
33.50;26.25;38.41;73.75;38.41
33.60;21.25;31.31;78.75;31.31
33.70;16.25;37.83;83.75;37.83
33.80;20.00;37.90;80.00;37.90
33.90;23.75;36.71;76.25;36.71
34.00;27.50;37.11;72.50;37.11
34.10;31.25;42.20;68.75;42.20
34.20;27.25;40.25;72.75;40.25
34.30;23.25;44.55;76.75;44.55
34.40;19.25;47.55;80.75;47.55
34.50;15.25;49.75;84.75;49.75
34.60;18.25;49.30;81.75;49.30
34.70;21.25;53.98;78.75;53.98
34.80;24.25;47.51;75.75;47.51
34.90;27.25;53.09;72.75;53.09
35.00;30.25;53.18;69.75;53.18
35.10;24.75;51.37;75.25;51.37
35.20;19.25;53.88;80.75;53.88
35.30;13.75;54.19;86.25;54.19
35.40;8.25;53.79;91.75;53.79
35.50;12.00;53.32;88.00;53.32
35.60;15.75;57.01;84.25;57.01
35.70;19.50;49.80;80.50;49.80
35.80;23.25;56.50;76.75;56.50
35.90;28.75;51.37;71.25;51.37
36.00;34.25;50.94;65.75;50.94
36.10;39.75;52.51;60.25;52.51
36.20;45.25;46.79;54.75;46.79
36.30;51.25;48.11;48.75;48.11
36.40;57.25;49.06;42.75;49.06
36.50;63.25;50.82;36.75;50.82
36.60;69.25;50.38;30.75;50.38
36.70;74.05;55.12;25.95;55.12
36.80;78.85;52.45;21.15;52.45
36.90;83.65;56.67;16.35;56.67
37.00;88.45;60.22;11.55;60.22
37.10;93.25;60.40;6.75;60.40
37.20;89.50;64.17;10.50;64.17
37.30;85.75;65.20;14.25;65.20
37.40;82.00;71.94;18.00;71.94
37.50;78.25;71.92;21.75;71.92
37.60;74.85;65.85;25.15;65.85
37.70;71.45;65.95;28.55;65.95
37.80;68.05;66.05;31.95;66.05
37.90;64.65;72.44;35.35;72.44
38.00;61.25;66.53;38.75;66.53
38.10;56.50;66.00;43.50;66.00
38.20;51.75;60.11;48.25;60.11
38.30;47.00;65.23;53.00;65.23
38.40;42.25;64.85;57.75;64.85
38.50;38.50;66.48;61.50;66.48
38.60;34.75;66.26;65.25;66.26
38.70;31.00;61.12;69.00;61.12
38.80;27.25;65.47;72.75;65.47
38.90;31.85;60.73;68.15;60.73
39.00;36.45;66.08;63.55;66.08
39.10;41.05;62.26;58.95;62.26
39.20;45.65;63.74;54.35;63.74
39.30;50.25;60.25;49.75;60.25
39.40;54.25;61.42;45.75;61.42
39.50;58.25;59.76;41.75;59.76
39.60;62.25;62.88;37.75;62.88
